"Title:","crashesnew.csv"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | Dodge | Ford | Honda | Lincoln | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37E4D48"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, Dodge, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Lincoln, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"03/1984",8610,18,400,1510,300,46,8544,18,400,1510,300,46,,
"04/1984",8470,10,370,1456,308,42,8398,10,370,1456,308,42,,
"05/1984",9878,14,440,1790,500,58,9784,14,440,1790,500,58,,
"06/1984",10776,16,486,1818,558,70,10706,16,486,1818,558,70,,
"07/1984",10972,18,502,1874,568,66,10892,18,502,1874,568,66,,
"08/1984",11124,20,540,1768,638,68,11010,20,540,1766,638,68,,
"09/1984",10718,16,476,1784,578,56,10622,16,476,1784,578,56,,
"10/1984",10576,14,524,1810,398,60,10494,14,524,1808,398,60,,
"11/1984",9834,16,454,1888,268,34,9736,16,452,1888,268,34,,
"12/1984",9984,28,476,1780,360,86,9882,28,476,1780,360,86,,
"01/1985",8092,14,370,1438,176,42,8026,14,370,1438,176,42,,
"02/1985",7320,14,328,1334,220,28,7242,14,328,1334,220,28,,
"03/1985",8614,22,398,1398,374,48,8540,22,398,1398,374,48,,
"04/1985",9220,14,444,1574,494,38,9154,14,444,1574,494,38,,
"05/1985",10412,18,460,1762,590,50,10356,18,460,1762,590,50,,
"06/1985",10958,12,420,1762,622,64,10888,12,420,1762,620,64,,
"07/1985",10780,16,494,1700,692,70,10694,16,494,1700,692,70,,
"08/1985",11314,24,496,1892,590,68,11220,24,496,1892,588,68,,
"09/1985",10068,12,424,1882,488,46,9992,12,422,1878,488,46,,
"10/1985",10240,14,428,1824,428,38,10150,14,428,1824,428,38,,
"11/1985",10158,12,476,1864,308,66,10056,12,476,1860,308,66,,
"12/1985",9366,18,476,1754,238,50,9262,18,476,1754,238,50,,
"01/1986",8254,8,390,1444,226,42,8170,8,390,1444,226,42,,
"02/1986",7296,10,338,1306,218,60,7248,10,338,1306,218,60,,
"03/1986",8990,16,430,1566,356,62,8918,16,430,1564,354,62,,
"04/1986",9142,28,416,1646,406,38,9078,28,416,1646,406,38,,
"05/1986",10806,18,478,1900,540,62,10694,18,478,1900,536,62,,
"06/1986",11232,20,506,1944,602,62,11122,20,506,1944,598,62,,
"07/1986",11542,24,538,1906,704,82,11458,24,538,1906,704,82,,
"08/1986",12368,28,578,2050,636,76,12272,28,578,2046,636,76,,
"09/1986",10596,20,490,1748,488,46,10512,20,490,1746,488,46,,
"10/1986",10922,20,574,1908,386,60,10842,20,574,1908,386,60,,
"11/1986",10300,18,564,1786,384,60,10222,18,564,1786,384,60,,
"12/1986",10136,10,526,1810,314,54,10060,10,526,1810,314,54,,
"01/1987",8314,20,438,1474,238,52,8236,20,438,1474,238,52,,
"02/1987",7734,18,354,1420,244,46,7684,18,354,1420,244,46,,
"03/1987",8892,14,446,1470,338,48,8844,14,446,1470,338,48,,
"04/1987",9278,24,428,1520,412,44,9214,24,428,1518,412,44,,
"05/1987",10670,24,480,1774,584,84,10588,24,480,1774,584,84,,
"06/1987",11024,22,530,1822,574,56,10944,22,530,1822,574,56,,
"07/1987",11324,14,576,1932,612,58,11252,14,576,1932,612,58,,
"08/1987",12316,22,540,2168,596,78,12228,22,534,2168,596,78,,
"09/1987",10970,20,490,1912,514,60,10896,20,490,1912,514,60,,
"10/1987",11780,34,602,2120,486,90,11690,34,602,2120,484,90,,
"11/1987",10692,14,492,1988,350,58,10614,14,492,1988,350,58,,
"12/1987",10678,14,560,1960,338,72,10590,14,560,1960,338,72,,
"01/1988",8550,22,430,1544,214,48,8470,22,430,1544,214,48,,
"02/1988",8082,22,368,1378,274,60,8028,22,368,1378,274,60,,
"03/1988",9260,16,434,1740,348,48,9224,16,434,1740,348,48,,
"04/1988",9808,26,472,1734,428,42,9772,26,472,1734,428,42,,
"05/1988",10644,18,500,1928,510,64,10592,18,500,1928,510,64,,
"06/1988",11136,10,556,1984,542,76,11100,10,556,1984,542,76,,
"07/1988",11648,12,588,2062,524,82,11574,12,588,2058,524,82,,
"08/1988",11734,20,574,1950,600,66,11682,20,574,1950,600,66,,
"09/1988",11228,26,554,2004,506,62,11142,26,554,2002,506,62,,
"10/1988",11568,26,530,2176,436,92,11502,26,530,2176,436,92,,
"11/1988",10454,20,478,1918,342,60,10410,20,478,1918,342,60,,
"12/1988",11294,24,594,1984,308,82,11232,24,594,1984,308,82,,
"01/1989",9020,28,438,1622,288,74,8942,28,438,1622,288,74,,
"02/1989",7982,12,450,1446,238,54,7934,12,450,1444,238,54,,
"03/1989",9470,10,536,1640,358,64,9420,10,536,1640,358,64,,
"04/1989",9576,8,508,1784,402,54,9538,8,508,1784,402,54,,
"05/1989",10170,8,506,1824,490,60,10118,8,506,1824,490,60,,
"06/1989",10364,10,528,1844,446,62,10282,10,528,1844,446,62,,
"07/1989",11218,18,554,1914,576,80,11152,18,552,1914,576,80,,
"08/1989",11042,8,534,1946,500,56,10974,8,534,1946,500,56,,
"09/1989",10886,12,538,1978,464,62,10816,12,536,1976,464,62,,
"10/1989",11154,24,532,1964,416,76,11074,24,532,1964,416,76,,
"11/1989",9886,18,550,1858,346,48,9798,18,550,1858,346,48,,
"12/1989",10972,10,558,2074,360,50,10892,10,558,2074,360,50,,
"01/1990",8770,24,444,1666,248,50,8698,24,442,1666,248,50,,
"02/1990",7910,14,444,1436,250,48,7858,14,444,1436,250,48,,
"03/1990",9364,18,438,1704,368,76,9306,18,438,1704,368,76,,
"04/1990",9296,14,458,1650,408,68,9238,14,458,1648,408,68,,
"05/1990",10112,16,460,1812,428,50,10040,16,460,1812,428,50,,
"06/1990",10726,14,490,1840,530,68,10678,14,490,1840,530,68,,
"07/1990",11324,26,522,2058,574,60,11234,26,522,2056,574,60,,
"08/1990",11130,20,502,1964,544,68,11068,20,502,1964,544,68,,
"09/1990",10544,14,522,1836,514,86,10472,14,522,1836,514,86,,
"10/1990",10176,24,484,1892,390,80,10118,24,484,1892,390,80,,
"11/1990",9656,20,474,1772,372,64,9602,20,474,1772,372,64,,
"12/1990",9576,14,496,1764,330,70,9510,14,496,1760,330,70,,
